,S5INFT Index,S5FINL Index,S5HLTH Index,S5COND Index,S5TELS Index,S5INDU Index,S5CONS Index,S5ENRS Index,S5MATR Index,S5UTIL Index,S5RLST Index
11/17/2022,2304.62,582.22,1547.21,1094.215,166.9,833.02,770.79,705.52,499.41,341.28,235.22
11/18/2022,2307.6,586.71,1565.77,1094.654,166.31,838.94,778.78,699.19,502.64,348.1,238.25
11/21/2022,2281.53,588.69,1566.48,1079.211,164.96,842.06,786.39,689.46,504.54,349.83,239.96
11/22/2022,2325.53,594.73,1580.33,1091.888,167.15,848.4,792.03,711.39,515.8,352.78,241.07
11/23/2022,2345.86,596.95,1585.76,1106.365,169.18,851.7,794.68,703.13,517.93,356.44,241.43
11/25/2022,2330.19,599.37,1595.63,1107.04,167.99,854.86,795.14,701,517.32,358.67,242.98
11/28/2022,2280.52,588.73,1583.67,1100.385,165.39,839.42,792.68,681.81,505.94,354.83,236.18
11/29/2022,2258.28,592.65,1579.99,1095.492,164.84,844.62,789.76,690.53,507.45,352.24,240.21
11/30/2022,2371.98,602.43,1618.69,1133.646,172.94,858.06,804.18,694.3,519.72,361.25,245.82
12/1/2022,2373.66,598.13,1622.56,1132.416,173.45,858.03,800.38,691.37,519.55,360.58,245.05
12/2/2022,2360.63,595.56,1626.18,1130.286,173.55,863.37,803.89,687.2,525.28,358.89,244.03
12/5/2022,2321.54,580.68,1610.11,1096.925,170.94,848.65,794.23,667.01,515.03,356.75,239.84
12/6/2022,2271.92,575.7,1598.13,1079.116,166.54,838.91,788.85,649.35,510.5,359.12,237.95
12/7/2022,2260.23,573.1,1611.67,1073.981,164.99,837.76,791.81,647.47,509.25,357.43,238.56
12/8/2022,2296.23,573.96,1626.07,1085.236,164.16,842.55,795.26,644.46,512.69,359.44,240
12/9/2022,2281.8,572.33,1605.2,1079.62,164.19,835.7,789.18,629.47,507.77,357.73,239.51
12/12/2022,2331.38,579.55,1621.85,1083.791,165.35,849.99,797.34,645.12,512.32,365.85,241.66
12/13/2022,2357.99,581.26,1626.3,1085.926,168.16,853.02,796.01,656.54,519.21,367,246.59
12/14/2022,2337.75,573.74,1628.65,1078.043,166.72,851.42,795.43,652.33,513.45,366.41,244.09
12/15/2022,2249.46,562.23,1598.35,1058.81,160.31,830.55,782.22,648.88,497.94,361.77,240.96
12/16/2022,2220.94,558.05,1575.84,1040.396,160.14,826.54,778.1,640.28,495.88,355.76,233.82
12/19/2022,2189.5,556.76,1570.16,1023.136,156.64,822.28,777.78,641.14,489.24,354.29,231.2
12/20/2022,2192.93,558.46,1569.24,1011.567,157.77,823.45,777.64,650.86,492.42,354.51,230.58
12/21/2022,2229.68,567.97,1589.73,1027.582,159.64,838.65,784.02,663.17,496.54,359.32,232.69
12/22/2022,2173.04,562.43,1587.22,1000.968,157.8,828.14,781.76,647.84,491.86,357.04,231.75
12/23/2022,2175.54,565.89,1588.53,1008.097,159.5,832.86,785.87,668.33,495.38,360.8,233.8
12/27/2022,2154.38,565.7,1584.31,991.5471,157.62,835.58,789.55,675.96,495.53,363.03,233.47
12/28/2022,2118.97,563.33,1574.23,983.0622,155.24,824.6,779.62,660.95,488.12,359.52,229.75
12/29/2022,2174.9,571.41,1590.7,1008.32,159.41,834.7,782.78,667.27,493.23,361.96,234.71
12/30/2022,2172.17,569.74,1585.54,1005.483,159.37,831.4,779.13,672.34,489.55,358.48,232.37
1/3/2023,2150.31,571.88,1580.97,999.5387,161.59,833.12,777.29,647.97,489.04,358.5,233.09
1/4/2023,2155.82,580.95,1584.91,1013.672,163.36,840.73,779.53,648.34,497.55,361.86,238.42
1/5/2023,2113.63,575.62,1568.57,1004.03,162.46,831.6,771.85,661.25,489.6,353.82,231.52
1/6/2023,2176.86,588.73,1582.51,1028.103,165.26,854,792.74,672.35,506.45,361,238.14
1/9/2023,2200.61,586.18,1556.25,1033.926,165.27,850.41,784.59,669.19,509.49,363.3,238.01
1/10/2023,2214.14,589.99,1569.24,1046.97,167.4,855,783.33,674.21,514.7,363.46,238.83
1/11/2023,2252.98,595.06,1578.26,1075.023,169.64,863.19,783.83,676.61,522.98,366.58,247.43
1/12/2023,2269.26,596.43,1572.1,1076.865,171.05,868.1,777.62,689.26,524.63,364.23,250.12
1/13/2023,2276.98,600.66,1579.53,1087.352,171.98,867.03,781.2,690.21,528.16,362.63,248.6
1/17/2023,2286.94,596.59,1571.65,1088.106,170.4,859.73,781.17,691.07,522.5,362.18,248.8
1/18/2023,2257.63,585.64,1549.37,1073.99,168.82,843.87,760.45,678.87,515.28,353.46,244.92
1/19/2023,2231.84,578.61,1552.99,1055.812,170.34,826.29,752.72,686.38,511.31,349.93,243.82
1/20/2023,2292.54,588.16,1561.79,1081.813,177.09,837.89,758.85,695.32,521.77,351.99,246.74
1/23/2023,2344.75,594.75,1566.24,1098.787,180.24,847.05,761.11,693.91,523.43,352.14,247.33
1/24/2023,2343.86,595.37,1556.12,1096.897,178.99,852.53,764.03,692.41,523.64,353.85,248.33
1/25/2023,2337.67,599.75,1556.28,1102.832,178.35,848.01,766.19,691.78,524.7,349.03,248.6
1/26/2023,2375.4,602.72,1558.72,1125.24,181.3,852.73,764.07,714.77,527.24,350.38,251.33
1/27/2023,2385.91,603.02,1547.92,1150.81,182.9,855.73,762.14,700.58,525.46,350.27,253.7
1/30/2023,2339.64,599.89,1533.57,1131.095,179.61,847.44,762.71,684.53,521.79,348.68,250.56
1/31/2023,2373.29,607.9,1553.43,1156.216,182.04,861.96,770.91,690.59,533.4,351.17,255.26
2/1/2023,2427.68,608.01,1560.94,1178.102,184.49,868.1,776.77,677.53,536.88,351.81,257.12
2/2/2023,2495.25,609.12,1550.33,1214.416,196.92,874.82,770.11,660.47,535.36,352.35,262.86
2/3/2023,2475.27,608.5,1546.32,1176.669,192.55,870.28,766.84,658.95,525.63,345.05,257.51
2/6/2023,2445,607.64,1537.1,1175.117,190.03,868.47,767.03,656.34,519.96,348.04,255.77
2/7/2023,2505.26,614.71,1547,1177.704,194.74,870.62,764.28,676.54,526.71,347.76,254.98
2/8/2023,2473.94,611.27,1542.24,1167.169,186.69,865.51,757.91,670.76,522.45,341.81,254.23
2/9/2023,2461.49,603.75,1528.98,1164.749,181.47,857.89,755.67,665.97,515.1,336.99,251.66
2/10/2023,2448.02,606.18,1543.3,1150.548,179.86,864.22,762.7,692.1,516.93,343.74,252.33
2/13/2023,2491.47,612.87,1556.1,1167.371,181.84,871.83,771.64,687.91,519.56,345.75,254.39
2/14/2023,2502.34,609.58,1546.71,1181.105,181.85,869.36,764.47,687.78,520.68,344.09,251.75
2/15/2023,2511.94,610.53,1538.77,1194.853,183.97,874.82,765.89,675.54,522.99,346.29,252.4
2/16/2023,2467.9,604,1523.11,1168.995,181.12,865.28,759.8,668.58,516.98,343.42,250.05
2/17/2023,2438.44,604.28,1536.74,1169.446,180.27,870.74,769.6,644.2,512,346.85,248.92
2/21/2023,2379.85,592.12,1515.77,1130.377,176.14,850.77,767.01,642.23,503.68,340.31,244.05
2/22/2023,2376.46,590.93,1510.83,1136.213,176.05,848.54,764.96,637.29,507.08,338.88,241.57
2/23/2023,2415.19,591.76,1514.87,1135.214,174.89,851.92,763.31,645.39,508.01,337.24,243.94
2/24/2023,2372.37,592.38,1495.64,1117.473,172.39,846.99,758.81,645.32,511.33,337.17,239.51
2/27/2023,2384.73,592.03,1491.02,1130.63,173.11,854.04,757.41,647.35,512.51,334.59,239.86
2/28/2023,2380.26,593.02,1480.18,1130.009,173.53,851.88,751.73,638.01,514.81,328.82,239.77
3/1/2023,2360.87,590.77,1477.49,1115.491,172.47,855.08,746.03,650.37,518.32,323.16,236.2
3/2/2023,2390.7,587.65,1486.05,1111.95,174.36,865.34,755.09,655.85,524.56,329.05,239.08
3/3/2023,2441.83,597.05,1503.32,1135.495,178.02,874.52,755.69,664.3,531.9,334.84,243.23
3/6/2023,2454.86,597.36,1502.39,1127.45,178.83,872.77,758.17,664.95,523.14,336.28,242.25
3/7/2023,2423.82,582.2,1478.1,1112.054,176.78,861.7,750.78,653.32,512.73,330.71,236.18
3/8/2023,2444.24,579.84,1469.81,1109.194,177.12,863.67,751.67,646.63,515.12,333.28,239.3
3/9/2023,2408.92,556.04,1454.63,1083.028,173.18,851,744.56,637.81,502.05,330.48,233.81
3/10/2023,2366.99,546.28,1443.91,1072.428,170.71,835.48,741.17,628.78,491.26,325.2,226.2
3/13/2023,2380,525.63,1457.14,1074.903,171.13,830.38,744.68,616.47,485.89,330.22,229.83
3/14/2023,2434.58,535.56,1470.02,1093.235,175.84,839.14,750.65,621.92,491.94,334.46,231.76
3/15/2023,2435.24,520.33,1467.49,1090.94,178.48,818.08,755.75,588.2,475.82,338.93,231.77
3/16/2023,2503.8,530.45,1481.54,1111.482,183.43,828.48,755.19,593.72,481.41,341.2,231.63
3/17/2023,2500.96,513.02,1462.81,1097.665,182.56,815,750.63,584.64,474,337.87,226.38
3/20/2023,2506.74,519.15,1481.55,1101.9493,183.44,826.06,760.78,596.98,483.52,340.62,228.79
3/21/2023,2527.62,532.33,1490.34,1131.8374,187.93,835.38,759.84,617.6,489.45,333.62,227.29
3/22/2023,2504.44,519.7,1468.05,1106.9415,184.88,819.46,752.38,604.56,480.84,327.02,219.01
3/23/2023,2545.76,516.28,1465.45,1106.385,188.27,817.61,749.13,596.32,480.17,323.73,217.66
3/24/2023,2552.04,515.97,1484.65,1102.47,188.77,820.48,761.34,598.03,484.05,333.82,223.26
3/27/2023,2530.32,523.2,1490.71,1104.438,186.74,827.24,765.48,610.6,487.64,334.24,222.45
3/28/2023,2518.77,522.9,1482.27,1103.197,184.84,831.74,767.18,619.44,490.07,335.22,221.87
3/29/2023,2571.52,530.74,1485.81,1124.224,187.03,843.55,771.29,628.71,496.86,340.04,227
3/30/2023,2600.86,529.19,1493.96,1134.302,187.63,845.47,773.93,630.9,500.05,341.42,229.76
3/31/2023,2638.98,535.28,1510.73,1163.981,191.53,856.59,780.38,634.9,507.92,344.01,234.78
4/3/2023,2637.78,536.36,1527.04,1153.351,192.54,858.21,784.39,666.07,511.23,341.52,232.56
4/4/2023,2622.43,530.93,1527.4,1152.524,193.13,838.88,782.48,654.61,503.73,343.3,232.6
4/5/2023,2591.17,530.18,1553.83,1129.035,192.71,827.97,786.82,663.91,502.61,352.13,231.38
4/6/2023,2608.75,531.81,1557.33,1129.588,196,827.76,787.45,654.14,501.51,354.72,232.97
4/10/2023,2604.91,533.25,1556.75,1134.394,194.65,835.19,787.34,658.37,503.98,354.01,234.1
4/11/2023,2578,537.78,1561.36,1134.57,193.82,840.11,789.24,664.24,507.65,354.24,235.18
4/12/2023,2562.26,536.69,1561.6,1117.092,192.09,842.91,785.7,664.99,508,353.83,234.47
4/13/2023,2612.33,541.3,1580.81,1142.934,196.57,846.09,790.06,669.04,513.11,353.91,233.52
4/14/2023,2599.12,547.01,1568.38,1144.403,197.18,845.07,785.47,670.32,509.65,349.97,229.59
4/17/2023,2609.33,553.18,1566.76,1152.152,194.68,851.74,790.1,661.8,512.64,351.97,234.71
4/18/2023,2619.95,554.91,1556.5,1153.588,193.42,855.69,792.68,664.75,514.68,350.17,234.35
4/19/2023,2616.53,556.33,1560.92,1153.854,192.02,855.09,792.29,663.08,513.07,352.91,235.64
